Step: 500 Time: 0.05 Boundary Angle: 0
30,1,2,5.43563,-66.9834
31,1,2,-3.19858,-64.3565
32,1,2,-12.1304,-61.6168
33,1,2,-6.43104,-67.8469
34,1,2,-7.80658,-63.7208
35,1,2,2.08713,-63.0937
36,1,2,-0.349084,-59.6443
37,1,2,4.90963,-60.1295
38,1,2,-8.39042,-59.1306
39,1,2,9.09665,-60.0495
-----------------------------------
Step: 4500 Time: 0.45 Boundary Angle: 0
0,1,2,8.81712,-117.67
1,1,2,4.74535,-117.915
2,1,2,-9.71556,-117.599
3,1,2,0.038167,-118.007
4,1,2,-4.13775,-117.927
5,1,2,2.4036,-114.658
6,1,2,-6.75856,-114.906
7,1,2,-6.16167,-101.414
8,1,2,6.40823,-114.295
9,1,2,2.63111,-110.655
10,1,2,-1.82193,-114.478
11,1,2,12.1733,-114.681
12,1,2,4.6896,-96.0939
13,1,2,-11.1825,-113.379
14,1,2,7.64987,-110.504
15,1,2,-2.14203,-110.502
16,1,2,9.06975,-101.198
17,1,2,-13.466,-102.376
18,1,2,-2.7953,-105.191
19,1,2,12.3386,-94.8466
20,1,2,1.45578,-92.2777
21,1,2,8.31726,-89.9939
22,1,2,8.61453,-96.9248
23,1,2,3.38985,-88.4871
24,1,2,-3.23694,-79.1841
25,1,2,-0.412338,-82.6869
26,1,2,-7.0937,-80.4543
27,1,2,8.97293,-77.9783
28,1,2,-5.06696,-66.0581
29,1,2,-10.5677,-74.2599
30,1,2,5.20807,-74.0448
31,1,2,-2.85557,-70.7745
32,1,2,-12.1151,-67.1321
33,1,2,-6.59187,-73.8242
34,1,2,-8.00484,-68.9846
35,1,2,2.84113,-67.0193
36,1,2,-1.46454,-63.4383
37,1,2,6.90583,-64.441
38,1,2,-9.43916,-63.0311
39,1,2,11.3233,-62.4292
40,1,2,0.631229,-59.3778
41,1,2,4.43789,-60.8992
42,1,2,8.23191,-59.5864
43,1,2,-4.37659,-57.8375
44,1,2,-5.62689,-61.7357
-----------------------------------
Step: 5000 Time: 0.5 Boundary Angle: 0
0,1,2,8.68642,-117.68
1,1,2,4.43643,-117.919
2,1,2,-9.7494,-117.597
3,1,2,0.165124,-118.004
4,1,2,-4.5312,-117.916
5,1,2,2.22985,-114.582
6,1,2,-6.94058,-114.725
7,1,2,-9.86845,-112.002
8,1,2,6.22101,-114.343
9,1,2,3.12297,-110.687
10,1,2,-2.12317,-114.723
11,1,2,13.6461,-117.209
12,1,2,5.30054,-107.334
13,1,2,-14.8656,-117.061
14,1,2,10.8708,-114.329
15,1,2,-0.86932,-110.926
16,1,2,8.53561,-111.083
17,1,2,-13.6753,-113.243
18,1,2,-4.28524,-108.844
19,1,2,13.1751,-108.243
20,1,2,1.73796,-105.49
21,1,2,7.46919,-103.526
22,1,2,9.30455,-107.159
23,1,2,2.78857,-101.655
24,1,2,-3.50061,-90.0894
25,1,2,-0.932452,-94.1643
26,1,2,-7.53057,-90.4534
27,1,2,8.73127,-88.9853
28,1,2,-5.37007,-71.5992
29,1,2,-10.6635,-82.9945
30,1,2,4.98051,-83.5587
31,1,2,-2.51256,-79.645
32,1,2,-12.0997,-75.0998
33,1,2,-6.71455,-82.2509
34,1,2,-7.75562,-76.244
35,1,2,3.50941,-72.9889
36,1,2,-1.38361,-68.4772
37,1,2,6.86589,-69.0187
38,1,2,-8.64144,-69.313
39,1,2,10.8537,-66.6346
40,1,2,2.14447,-62.4695
41,1,2,4.0336,-66.1157
42,1,2,11.0911,-62.0069
43,1,2,-5.56183,-57.6179
44,1,2,-6.26349,-65.6142
45,1,2,7.07318,-62.2733
46,1,2,-1.59264,-64.2781
47,1,2,-0.936204,-59.3719
48,1,2,-4.74091,-61.5839
49,1,2,4.8013,-58.7754
-----------------------------------
Step: 5500 Time: 0.55 Boundary Angle: 0
0,1,2,8.59081,-117.695
1,1,2,4.41091,-117.918
2,1,2,-9.8175,-117.591
3,1,2,-0.25324,-118.002
4,1,2,-4.97456,-117.895
5,1,2,2.01903,-114.712
6,1,2,-7.19656,-114.569
7,1,2,-12.0692,-114.235
8,1,2,6.3842,-114.368
9,1,2,3.94613,-111.207
10,1,2,-2.54086,-114.721
11,1,2,14.4424,-117.114
12,1,2,7.09946,-108.761
13,1,2,-14.9057,-117.055
14,1,2,11.2487,-114.708
15,1,2,-3.81445,-110.93
16,1,2,10.5649,-110.767
17,1,2,-16.0977,-113.237
18,1,2,-7.80406,-110.599
19,1,2,19.2338,-115.863
20,1,2,0.10071,-110.135
21,1,2,9.34817,-105.458
22,1,2,15.0149,-112.526
23,1,2,3.34504,-106.962
24,1,2,-3.85648,-103.213
25,1,2,-2.15204,-106.85
26,1,2,-7.987,-102.91
27,1,2,8.41307,-101.582
28,1,2,-4.97893,-80.0631
29,1,2,-10.7593,-94.1817
30,1,2,4.75295,-95.5251
31,1,2,-2.16955,-90.968
32,1,2,-12.0844,-85.52
33,1,2,-6.83724,-93.1301
34,1,2,-7.5064,-85.9559
35,1,2,4.17769,-81.411
36,1,2,-1.68653,-74.2835
